,feature,feature_spellcheck
12154,impart,impart
12155,impartial,impartial
12156,impartially,impartially
12157,impass,-1
12158,impassable,impassable
12159,impasse,-1
12160,impassible,impossible
12161,impatience,impatience
12162,impatienntly,impatiently
12163,impatiens,impatient
12164,impatient,impatient
12165,impatiently,impatiently
12166,impeach,impact
12167,impeachment,impeachment
12168,impede,impede
12169,impediment,impediment
12170,impediments,impediment
12171,impend,-1
12172,imperative,imperative
12173,imperatives,imperative
12174,imperfections,-1
12175,imperial,imperial
12176,imperialism,imperialism
12177,imperialist,imperialism
12178,impermeable,-1
12179,impetigo,impetigo
12180,impetus,impetus
12181,implant,-1
12182,implement,implement
12183,implementation,implementation
12184,implicate,implicate
12185,implication,implication
12186,implications,implication
12187,implicit,implicit
12188,implore,implore
12189,implosion,explosion
12190,imporant,important
12191,import,import
12192,importain,important
12193,importance,importance
12194,importans,important
12195,important,important
12196,importantly,importantly
12197,importation,importation
12198,importations,importation
12199,importnat,important
12200,importsnt,important
12201,impose,impose
12202,imposition,position
12203,impossible,impossible
12204,impots,-1
12205,impoundment,-1
12206,impoundments,-1
12207,impoverish,impoverished
12208,impracticable,impracticable
12209,impractical,practical
12210,impregnate,impregnated
12211,impresionante,-1
12212,impress,impress
12213,impression,impression
12214,impressions,impressions
12215,impressive,impressive
12216,imprison,imprison
12217,imprisonment,imprisonment
12218,impro,-1
12219,impromptu,-1
12220,improper,improper
12221,improperly,improperly
12222,improve,improve
12223,improvement,improvement
12224,improvements,improvements
12225,improvise,improvised
12226,impunity,impunity
12227,impure,impure
12228,impurities,immunities
12229,imqkh,-1
12230,imu,imp
12231,imysmsmoking,-1
12232,imzouren,-1
12233,ina,in
12234,inability,inability
12235,inaccessibility,inaccessibility
12236,inaccessible,inaccessible
12237,inaccurately,accurately
12238,inacom,income
12239,inaction,inaction
12240,inactivate,-1
12241,inactive,inactive
12242,inadequate,inadequate
12243,inaghei,-1
12244,inalau,-1
12245,inallevel,-1
12246,inamet,name
12247,inand,inland
12248,inappropriate,inappropriate
12249,inasmo,naso
12250,inathlone,-1
12251,inaugurate,inaugurated
12252,inauguration,inauguration
12253,inbar,-1
12254,inbound,bound
12255,inbox,into
12256,inc,in
12257,incapable,incapable
12258,incarcerate,-1
12259,incase,incise
12260,incentive,incentive
12261,incentives,incentive
12262,incentivize,incentive
12263,inception,inception
12264,incessant,incessant
12265,inch,inch
12266,inchon,-1
12267,incidence,incidence
12268,incidences,incidence
12269,incident,incident
12270,incidents,incidents
12271,incineration,-1
12272,incinerator,-1
12273,incinerators,-1
12274,incirlik,-1
12275,incite,-1
12276,incitement,incitement
12277,incl,inch
12278,inclement,-1
12279,inclimate,intimate
12280,include,include
12281,includind,including
12282,inclusion,inclusion
12283,inclusive,inclusive
12284,inclusiveness,conclusiveness
12285,incomati,-1
12286,income,income
12287,incomes,incomes
12288,incoming,oncoming
12289,incompetent,incompetent
12290,incomplet,incomplete
12291,incomplete,incomplete
12292,incomprehensible,incomprehensible
12293,inconditional,unconditional
12294,inconsistencies,-1
12295,inconsistent,inconsistent
12296,incontact,contact
12297,incontrary,contrary
12298,incontrovertible,-1
12299,inconvenience,inconvenience
12300,incorporate,incorporate
12301,incorrect,incorrect
12302,incorrectly,incorrectly
12303,increase,increase
12304,increasingly,increasingly
12305,incredible,incredible
12306,incredibly,incredibly
12307,increse,increase
12308,incription,inscription
12309,incubate,inculpate
12310,incubation,incubation
12311,incubator,incubation
12312,inculcate,inculpate
12313,incumati,-1
12314,incumbency,incumbent
12315,incumbent,incumbent
12316,incur,incur
12317,incurable,incurable
12318,incursion,incursions
12319,incursions,incursions
12320,ind,ind
12321,indebted,indebted
12322,indebtedness,indebtedness
12323,indecent,indecent
12324,indeed,indeed
12325,indefinite,indefinite
12326,indelibly,-1
12327,indelmas,-1
12328,indentification,identification
12329,independant,independent
12330,independence,independence
12331,independent,independent
12332,independently,independently
12333,independientemente,-1
12334,index,index
12335,india,india
12336,indian,indian
12337,indiana,indiana
12338,indians,indians
12339,indicate,indicate
12340,indication,indication
12341,indications,indications
12342,indicator,indicator
12343,indicators,indicator
12344,indices,indies
12345,indie,-1
12346,indies,indies
12347,indifference,indifference
12348,indigenous,indigenous
12349,indigent,-1
12350,indigestion,indigestion
12351,indios,indies
12352,indirect,indirect
12353,indiscipline,discipline
12354,indiscriminate,-1
12355,indiscriminately,indiscriminately
12356,individual,individual
12357,individuals,individuals
12358,individualteam,-1
12359,indlala,indiana
12360,indo,into
12361,indoctrinate,-1
12362,indomain,domain
12363,indonesia,-1
12364,indonesian,-1
12365,indonesians,-1
12366,indoor,indoor
12367,indoors,indoors
12368,indravati,-1
12369,induce,induce
12370,inducement,inducement
12371,induct,induce
12372,indus,nidus
12373,industrial,industrial
12374,industrialisation,-1
12375,industrialists,industrialism
12376,industrialization,-1
12377,industrialize,industrialized
12378,industries,industries
12379,industry,industry
12380,ine,in
12381,inec,-1
12382,inee,knee
12383,ineedheatplease,-1
12384,ineffective,ineffective
12385,inefficient,-1
12386,inemis,enemies
12387,inequitable,inequitable
12388,ines,-1
12389,inevitable,inevitable
12390,inevitably,inevitably
12391,inexorable,inexorable
12392,inexpensive,expensive
12393,inf,in
12394,infamous,infamous
12395,infant,infant
12396,infanta,-1
12397,infantile,infantile
12398,infantry,infantry
12399,infants,infants
12400,infect,infect
12401,infection,infection
12402,infections,infections
12403,infectious,infectious
12404,infective,infective
12405,infer,infer
12406,inferno,inferior
12407,infertile,infective
12408,infest,-1
12409,infestation,-1
12410,infestations,indentations
12411,infidel,inside
12412,infidels,-1
12413,infighting,fighting
12414,infiltrate,infiltrate
12415,infiltration,infiltration
12416,infiltrations,infiltrations
12417,infiltrator,-1
12418,infinite,infinite
12419,infinitive,infinite
12420,infinity,infinity
12421,inflame,inflamed
12422,inflammable,inflammable
12423,inflammation,inflammation
12424,inflammations,inflammations
12425,inflammatory,inflammatory
12426,inflatable,inflammable
12427,inflation,inflation
12428,inflationary,-1
12429,inflict,inflict
12430,inflow,inflow
12431,inflows,inflow
12432,influence,influence
12433,influential,influential
12434,influenza,influenza
12435,influx,influx
12436,influxes,includes
12437,info,into
12438,infoalright,-1
12439,infoi,into
12440,infolrmation,information
12441,infomation,information
12442,infomatyon,information
12443,inforamtion,information
12444,inforation,information
12445,inform,inform
12446,informaition,information
12447,informal,informal
12448,informally,informally
12449,informant,informant
12450,informants,informant
12451,informatic,information
12452,informatie,information
12453,informatin,information
12454,informatins,information
12455,informatio,information
12456,information,information
12457,informations,information
12458,informationse,information
12459,informationsevery,-1
12460,informationsplease,-1
12461,informatioon,information
12462,informatique,-1
12463,informative,information
12464,infos,into
12465,infotronic,-1
12466,infp,in
12467,infra,infra
12468,infrared,inflamed
12469,infrasound,-1
12470,infrastructural,infrastructure
12471,infrastructure,infrastructure
12472,infrastructures,infrastructure
12473,infrastucture,infrastructure
12474,infrmation,information
12475,infront,front
12476,infusion,infusion
12477,infusions,infusions
12478,ing,ing
12479,ingapu,inapt
12480,ingc,ing
12481,ingeeneer,-1
12482,ingeneer,engineer
12483,ingeneers,engineers
12484,ingenior,-1
12485,ingenious,ingenious
12486,ingest,ingest
12487,ingestion,ingestion
12488,ingestions,ingestion
12489,ingineer,engineer
12490,inglish,english
12491,ingo,into
12492,ingoglia,-1
12493,ingos,into
12494,ingredient,ingredient
12495,ingredients,ingredient
12496,inguri,injury
12497,ingushetia,-1
12498,inguz,-1
12499,inhabit,inhabit
12500,inhabitant,inhabitant
12501,inhabitants,inhabitants
12502,inhalation,inhalation
12503,inhale,inhale
12504,inhambane,inhumane
12505,inhassoro,-1
12506,inherent,inherent
12507,inherently,inherently
12508,inherit,inherit
12509,inhibit,inhibit
12510,inhospitable,hospitable
12511,inhp,in
12512,inhuman,inhuman
12513,inhumanity,inhumanity
12514,initatives,initiatives
12515,initial,initial
12516,initially,initially
12517,initiate,initiate
12518,initiative,initiative
12519,initiatives,initiatives
12520,inject,inject
12521,injectable,-1
12522,injection,injection
12523,injections,injections
12524,injunctions,injunctions
12525,injure,injure
12526,injuried,-1
12527,injuries,injuries
12528,injury,injury
12529,injustice,injustice
12530,injustices,injustice
12531,ink,ink
12532,inkind,unkind
12533,inlah,-1
12534,inland,inland
12535,inline,-1
12536,inmates,inmates
12537,inmediato,immediate
12538,inmy,in
12539,inn,inn
12540,inna,anna
12541,inner,inner
12542,innermost,innermost
12543,innocent,innocent
12544,innoculate,inoculated
12545,innovasion,innovation
12546,innovat,-1
12547,innovate,innate
12548,innovation,innovation
12549,innovations,innovations
12550,innovative,innovative
12551,inny,inn
12552,inoculation,inoculation
12553,inoculations,inoculations
12554,inoperable,inoperable
12555,inoperative,inoperative
12556,inorganic,organic
12557,inouye,induce
12558,inp,in
12559,inpatient,impatient
12560,inpetit,-1
12561,input,input
12562,inquiet,-1
12563,inquire,inquire
12564,inquiries,inquiries
12565,inquiry,inquiry
12566,inrush,onrush
12567,ins,-1
12568,insane,insane
12569,insanitary,unsanitary
12570,insanity,insanity
12571,insarag,-1
12572,inscribe,inscribe
12573,inscription,inscription
12574,inscriptions,inscription
12575,insect,insect
12576,insecticid,-1
12577,insecticidal,-1
12578,insecticide,-1
12579,insecticides,-1
12580,insects,insects
12581,insecure,insecure
12582,insecurity,insecurity
12583,insensitive,insensitive
12584,inserm,insert
12585,insert,insert
12586,insertion,insertion
12587,inside,inside
12588,insiderinfoguide,-1
12589,insight,insight
12590,insights,insight
12591,insigne,-1
12592,insignificant,insignificant
12593,insist,insist
12594,insistence,insistence
12595,insivumeh,-1
12596,insoluble,insoluble
12597,insolubles,insoluble
12598,insomnia,insomnia
12599,inspect,inspect
12600,inspection,inspection
12601,inspections,inspection
12602,inspector,inspector
12603,inspectorate,-1
12604,inspectors,inspector
12605,insper,-1
12606,inspiration,inspiration
12607,inspire,inspire
12608,inspite,inspire
12609,instability,inability
12610,instable,unstable
12611,instafood,-1
12612,instagoo,-1
12613,instagood,-1
12614,instagram,-1
12615,instagramnyc,-1
12616,instahub,-1
12617,instal,instal
12618,install,install
12619,installation,installation
12620,installations,installation
12621,installment,installment
12622,instamo,instant
12623,instamood,-1
12624,instance,instance
12625,instant,instant
12626,instantly,instantly
12627,instar,instal
12628,instatement,statement
12629,instead,instead
12630,instigate,intimate
12631,instil,instal
12632,instill,install
12633,instinctively,instinctively
12634,institute,institute
12635,institution,institution
12636,institutional,institutional
12637,institutiones,institutions
12638,institutions,institutions
12639,instituto,institute
12640,instruct,instruct
12641,instruction,instruction
12642,instructions,instructions
12643,instrument,instrument
12644,instrumental,instrumental
12645,instrumentalization,-1
12646,instrumentation,-1
12647,insuffi,-1
12648,insufficient,insufficient
12649,insuficients,insufficient
12650,insulate,insulated
12651,insulation,-1
12652,insulators,-1
12653,insulin,insult
12654,insult,insult
12655,insurance,insurance
12656,insure,insure
12657,insurers,-1
12658,insurgencies,-1
12659,insurgency,insurgency
12660,insurgent,insurgent
12661,insurgents,insurgents
12662,insurmountable,insurmountably
12663,insurrection,insurrection
12664,int,-1
12665,intact,intact
12666,intake,intake
12667,inted,-1
12668,integral,integral
12669,integrate,integrate
12670,integration,integration
12671,integrity,integrity
12672,intel,inter
12673,intellectuals,intellectual
12674,intelligence,intelligence
12675,intelligent,intelligent
12676,intend,intend
12677,intense,intense
12678,intensification,-1
12679,intensify,intensify
12680,intensity,intensity
12681,intensive,intensive
12682,intent,intent
12683,intention,intention
12684,intentional,intentional
12685,intentions,intentions
12686,inter,inter
12687,interact,interact
12688,interaction,interaction
12689,interagency,-1
12690,interahamwe,-1
12691,interaide,intercede
12692,intercede,intercede
12693,intercept,intercept
12694,interception,intervention
12695,interceptor,intercept
12696,interchange,interchange
12697,intercommunal,-1
12698,interconnect,interconnected
12699,interconnection,-1
12700,interconnectivity,-1
12701,intercropped,-1
12702,intercropping,-1
12703,intercultural,-1
12704,interdisciplinary,-1
12705,interditadas,-1
12706,interest,interest
12707,interethnic,-1
12708,interface,interface
12709,interfaith,-1
12710,interfax,internal
12711,interfere,interfere
12712,interference,interference
12713,intergenerational,-1
12714,intergovernmental,-1
12715,interim,interim
12716,interior,interior
12717,interlocutor,interlocutor
12718,intermediaries,-1
12719,intermediary,intermediary
12720,intermediate,intermediate
12721,interministerial,-1
12722,intermittent,intermittent
12723,internal,internal
12724,internally,internally
12725,international,international
12726,internationale,international
12727,internationalis,international
12728,internationally,international
12729,internationalmedicalcorps,-1
12730,internationl,international
12731,internationlally,-1
12732,internationnal,international
12733,internecine,-1
12734,internet,internet
12735,internethaiti,-1
12736,internetshortcut,-1
12737,internews,-1
12738,internist,interest
12739,internists,interests
12740,internship,-1
12741,interoperable,-1
12742,interpertation,interpretation
12743,interplate,interstate
12744,interplay,interplay
12745,interpol,-1
12746,interposition,interposition
12747,interpret,interpret
12748,interpretation,interpretation
12749,interpretator,interpretation
12750,interpreter,interpreter
12751,interpreters,interpreter
12752,interresing,interesting
12753,interrested,interested
12754,interrupt,interrupt
12755,interrupta,interrupt
12756,interruption,interruption
12757,interruptions,interruption
12758,intersect,intersect
12759,intersection,intervention
12760,interseismic,-1
12761,interstate,interstate
12762,intertropical,-1
12763,interupt,interrupt
12764,intervene,intervene
12765,intervention,intervention
12766,interventional,intervention
12767,interventionists,-1
12768,interventions,intervention
12769,interview,interview
12770,intestinal,intestinal
12771,intestine,intestine
12772,inthe,the
12773,intherink,-1
12774,intifada,-1
12775,intikhab,-1
12776,intimately,intimately
12777,intimidate,intimidate
12778,intimidation,intimidation
12779,intimidations,intimidation
12780,intoinc,-1
12781,intolerance,intolerable
12782,intra,intra
12783,intractable,intractable
12784,intransigence,-1
12785,intraplate,-1
12786,intravenous,intravenous
12787,intravenously,intravenously
12788,introduce,introduce
12789,introduction,introduction
12790,introspection,introspective
12791,intrude,intrude
12792,intrusion,intrusion
12793,intrusive,-1
12794,intuitive,intuition
12795,inundaciones,-1
12796,inundate,innate
12797,inundation,foundation
12798,inundations,foundations
12799,invade,invade
12800,invaders,invaders
12801,invadiram,-1
12802,invalidate,invalidity
12803,invaluable,invaluable
12804,invariably,invariably
12805,invasion,invasion
12806,invasions,invasions
12807,invasive,invasion
12808,invective,invective
12809,invent,invent
12810,inventar,inventor
12811,invention,invention
12812,inventory,-1
12813,invertebrate,inveterate
12814,inverter,inverted
12815,invest,invest
12816,investigate,investigate
12817,investigation,investigation
12818,investigations,investigations
12819,investigator,investigator
12820,investigators,investigator
12821,investment,investment
12822,investments,investments
12823,investors,investors
12824,invitation,invitation
12825,invite,invite
12826,invoice,voice
12827,involve,involve
12828,involvement,involvement
12829,inward,inward
12830,iny,in
12831,inyatabad,-1
12832,ioc,ion
12833,iocc,-1
12834,iodine,iodine
12835,iodise,-1
12836,iodize,iodine
12837,ioletgjok,-1
12838,iom,-1
12839,ion,ion
12840,iopatito,-1
12841,ipa,pa
12842,ipad,pad
12843,ipc,-1
12844,ipcc,-1
12845,ipd,-1
12846,iphd,-1
12847,iphone,phone
12848,iphoneography,-1
12849,iphonesia,-1
12850,ipnthalloween,-1
12851,ipps,pips
12852,ips,is
12853,ipv,iv
12854,iqbal,equal
12855,iqigrthn,-1
12856,ir,-1
12857,iran,ran
12858,iranian,italian
12859,iranians,italians
12860,iraq,-1
12861,iraqocv,-1
12862,iratherwalk,-1
12863,irawaddy,-1
12864,irb,-1
12865,irc,-1
12866,ircs,-1
12867,ird,-1
12868,ire,ire
12869,iredscience,-1
12870,ireland,ireland
12871,irene,irene
12872,irenes,irene
12873,ireport,report
12874,ireporter,reporter
12875,irfan,-1
12876,iri,-1
12877,irian,-1
12878,iridium,iridium
12879,irin,iron
12880,irinnews,-1
12881,iris,iris
12882,irish,irish
12883,irja,-1
12884,irk,-1
12885,irla,-1
12886,irlco,rico
12887,irmc,-1
12888,irna,irina
12889,irois,iris
12890,iron,iron
12891,ironbound,-1
12892,ironic,ironic
12893,ironically,ironically
12894,ironworker,-1
12895,irrawaddy,-1
12896,irredentism,-1
12897,irregular,irregular
12898,irregularities,irregularities
12899,irrelevant,irrelevant
12900,irrespective,irrespective
12901,irreversible,-1
12902,irreversibly,-1
12903,irrigable,irritable
12904,irrigate,irrigate
12905,irrigation,irrigation
12906,irrigational,irrigation
12907,irrigations,irrigation
12908,irritate,irritate
12909,irs,irs
12910,irshad,orsha
12911,irwandi,-1
12912,isaf,isa
12913,isdpp,-1
12914,isdr,is
12915,ise,is
12916,ish,is
12917,ishinomaki,-1
12918,isil,is
12919,isiolo,solo
12920,isis,-1
12921,isit,-1
12922,iskandar,-1
12923,iskander,slander
12924,iskybusiness,-1
12925,isla,-1
12926,islam,slam
12927,islamabad,-1
12928,islamabd,-1
12929,islami,island
12930,islamic,-1
12931,islamist,-1
12932,islamists,-1
12933,islan,island
12934,island,island
12935,islanded,-1
12936,islanders,-1
12937,islands,islands
12938,islandwide,-1
12939,isle,isle
12940,isles,isles
12941,ismail,ismail
12942,ismet,-1
12943,isnaeil,-1
12944,isnot,not
12945,isnt,isn
12946,isolate,isolate
12947,isolation,isolation
12948,isolationism,-1
12949,isolationist,-1
12950,isolo,solo
12951,isometric,geometric
12952,isometrics,-1
12953,isopor,-1
12954,isotopes,-1
12955,ispa,isa
12956,ispr,is
12957,isra,isa
12958,israel,israel
12959,israeli,israel
12960,iss,iss
12961,issa,-1
12962,issh,iss
12963,issue,issue
12964,ist,ist
12965,isthere,there
12966,italiaanstalion,-1
12967,italian,italian
12968,italy,italy
12969,itar,star
12970,itch,-1
12971,itchforkmedia,-1
12972,itchy,itchy
12973,itcz,it
12974,iteka,-1
12975,item,item
12976,itemid,timid
12977,items,items
12978,iti,it
12979,itikarai,-1
12980,itis,its
12981,ito,-1
12982,itrecordjoe,-1
12983,itslizbethhh,-1
12984,itsmedicine,-1
12985,itsmillertime,-1
12986,itthe,the
12987,ittihad,-1
12988,ittstormtips,-1
12989,itu,it
12990,itunes,tunes
12991,ituri,turn
12992,itwasallhappening,-1
12993,ity,it
12994,ityofhoboken,-1
12995,iu,-1
12996,iv,iv
12997,ivakzmjl,-1
12998,ivan,ivan
12999,ivanvalenzuela,-1
13000,ive,-1
13001,ivfk,if
13002,ivi,-1
13003,ivoire,voice
13004,ivory,ivory
13005,ivy,ivy
13006,ivybakery,-1
13007,iwant,want
13008,iwate,irate
13009,iwould,would
13010,iwpr,war
13011,ix,ix
13012,iy,-1
13013,iysbl,lysol
13014,izcaskey,-1
13015,izxhrgsj,-1
13016,j,j
13017,ja,ja
13018,jaac,-1
13019,jaavar,-1
13020,jabba,-1
13021,jabouri,labour
13022,jabril,-1
13023,jacab,jacob
13024,jack,jack
13025,jacket,jacket
13026,jackfruit,-1
13027,jacklovesbooks,-1
13028,jackmel,jacket
13029,jackson,jackson
13030,jacl,-1
13031,jacme,acme
13032,jacmel,-1
13033,jacob,jacob
13034,jacobabad,-1
13035,jacobi,-1
13036,jacq,jack
13037,jacque,jacques
13038,jacques,jacques
13039,jacquet,-1
13040,jada,had
13041,jade,made
13042,jaey,jay
13043,jaf,-1
13044,jafarabad,-1
13045,jaffaabad,-1
13046,jaffar,jaffa
13047,jaffarabad,-1
13048,jaffna,jaffa
13049,jagadananda,-1
13050,jaggery,-1
13051,jaguar,january
13052,jahan,japan
13053,jahangir,-1
13054,jahia,-1
13055,jail,jail
13056,jaime,aime
13057,jaimeskyeesandy,-1
13058,jain,-1
13059,jaipur,-1
13060,jakarta,makarka
13061,jakmel,james
13062,jakusconsulting,-1
13063,jalak,talk
13064,jalalabad,-1
13065,jalandhar,-1
13066,jallouzai,-1
13067,jalouzi,-1
13068,jalozai,-1
13069,jam,jam
13070,jamaica,jamaica
13071,jamaican,jamaica
13072,jamalpur,-1
13073,jamat,james
13074,jambe,-1
13075,jambi,james
13076,jamboree,-1
13077,jamdat,-1
13078,jamia,-1
13079,jamiat,jamais
13080,jamil,jail
13081,jammies,-1
13082,jammu,-1
13083,jamo,jam
13084,jampr,-1
13085,jampur,-1
13086,jampy,-1
13087,jamshoro,-1
13088,jamuna,-1
13089,jamuniya,-1
13090,jamur,-1
13091,jamz,jam
13092,jan,jan
13093,jandypost,-1
13094,janeiro,-1
13095,jangmi,-1
13096,janitor,-1
13097,janm,-1
13098,jannot,cannot
13099,janoobi,-1
13100,janti,anti
13101,january,january
13102,janv,-1
13103,janvier,ranvier
13104,janvye,jane
13105,japan,japan
13106,japanese,japanese
13107,jappy,happy
13108,jar,jar
13109,jara,-1
13110,jarang,-1
13111,jaredleto,-1
13112,jareed,-1
13113,jari,jar
13114,jaroenlapnopparat,-1
13115,jarpx,-1
13116,jarro,-1
13117,jarupongsakul,-1
13118,jasmen,james
13119,jasmin,basin
13120,jasmine,famine
13121,jason,jason
13122,jassar,vassar
13123,jatropha,atrophy
13124,jaundice,jaundice
13125,java,cava
13126,javanese,japanese
13127,javid,david
13128,jawa,-1
13129,jay,jay
13130,jaya,jay
13131,jayapura,-1
13132,jayasuriya,-1
13133,jayawijaya,-1
13134,jaydeejimenez,-1
13135,jayee,-1
13136,jayra,-1
13137,jazayeri,-1
13138,jazz,jazz
13139,jcb,job
13140,jcc,-1
13141,jccp,-1
13142,jceiqvrdstorm,-1
13143,jckcz,-1
13144,jcp,-1
13145,jcthinks,thinks
13146,jdj,adj
13147,jdq,-1
13148,jdydc,-1
13149,je,je
13150,jealous,jealous
13151,jean,jean
13152,jeanne,-1
13153,jeannot,cannot
13154,jeans,jeans
13155,jeay,jay
13156,jedco,-1
13157,jedi,-1
13158,jedro,-1
13159,jeen,been
13160,jeep,-1
13161,jeeps,keeps
13162,jeevaraj,-1
13163,jeff,jeff
13164,jeffbrooks,-1
13165,jeffrey,geoffrey
13166,jehan,jean
13167,jehovah,jehovah
13168,jel,-1
13169,jelly,jelly
13170,jelum,-1
13171,jem,jem
13172,jemb,jem
13173,jen,men
13174,jenga,jena
13175,jenggawah,-1
13176,jensnow,-1
13177,jeopardise,jeopardized
13178,jeopardize,jeopardized
13179,jeopardy,jeopardy
13180,jepyb,-1
13181,jerale,-1
13182,jeremi,-1
13183,jeremiah,jeremiah
13184,jeremic,jeremiah
13185,jeremie,-1
13186,jeremy,-1
13187,jeremylevart,-1
13188,jerer,-1
13189,jerk,jerk
13190,jerky,jerky
13191,jerome,jerome
13192,jerricans,-1
13193,jerry,merry
13194,jerrycans,-1
13195,jerryjamesstone,-1
13196,jers,-1
13197,jersey,jersey
13198,jerseycity,-1
13199,jerseyshore,-1
13200,jerseyshoreproblems,-1
13201,jerseystrong,-1
13202,jeruk,jerk
13203,jerusalem,jerusalem
13204,jerzey,jersey
13205,jess,less
13206,jessore,restore
13207,jesual,-1
13208,jesuel,vessel
13209,jesus,jesus
13210,jet,jet
13211,jetblue,-1
13212,jetline,-1
13213,jetsam,jets
13214,jetski,-1
13215,jetstream,-1
13216,jetties,-1
13217,jetty,petty
13218,jeudi,-1
13219,jeune,jeune
13220,jeunes,jeune
13221,jeunesse,-1
13222,jeusu,just
13223,jewellery,jewellery
13224,jewish,jewish
13225,jewishgirlsdonotneedtheoutletanymoreidono,-1
13226,jewovah,jehovah
13227,jewux,-1
13228,jexf,jeff
13229,jeyakumar,-1
13230,jfa,ja
13231,jfd,-1
13232,jfk,of
13233,jfpr,for
13234,jg,-1
13235,jgvcrazy,-1
13236,jha,ha
13237,jhajjar,-1
13238,jhal,-1
13239,jhala,-1
13240,jhalakathi,-1
13241,jhaljaho,-1
13242,jhat,that
13243,jhelum,helm
13244,jhudp,-1
13245,jhuggi,-1
13246,jhurricane,hurricane
13247,ji,i
13248,jiabao,-1
13249,jian,-1
13250,jiang,-1
13251,jiangsu,-1
13252,jiangxi,-1
13253,jiangyou,-1
13254,jianmin,-1
13255,jianxi,-1
13256,jiashi,-1
13257,jica,-1
13258,jie,-1
13259,jif,if
13260,jigawa,-1
13261,jigsaw,-1
13262,jihad,had
13263,jihadi,-1
13264,jihadis,-1
13265,jihadist,-1
13266,jihadists,-1
13267,jihads,-1
13268,jij,jim
13269,jijiga,-1
13270,jilahle,-1
13271,jilib,julie
13272,jilin,-1
13273,jim,jim
13274,jimbodunky,-1
13275,jimgaffigan,-1
13276,jin,in
13277,jinde,-1
13278,jingdezhen,-1
13279,jingjiang,jingling
13280,jingonly,-1
13281,jinjiang,-1
13282,jinkonovsky,-1
13283,jinn,inn
13284,jinsha,misha
13285,jirado,-1
13286,jirga,-1
13287,jistis,-1
13288,jittery,-1
13289,jiujiang,-1
13290,jiuzhaigou,-1
13291,jivna,-1
13292,jiwan,-1
13293,jiye,-1
13294,jizi,-1
13295,jj,j
13296,jjmr,mr
13297,jjnrimjf,-1
13298,jk,-1
13299,jkfb,job
13300,jl,-1
13301,jlc,-1
13302,jloc,bloc
13303,jlva,-1
13304,jlys,joys
13305,jm,-1
13306,jman,man
13307,jmrakxfe,-1
13308,jmt,-1
13309,jn,-1
13310,jnauary,january
13311,jnkae,-1
13312,jnoulinmerat,-1
13313,jnsw,-1
13314,jo,to
13315,joao,joan
13316,job,job
13317,joba,job
13318,jobbecause,-1
13319,jobless,-1
13320,jobpam,-1
13321,jobpaw,-1
13322,jocelynb,-1
13323,jochems,-1
13324,jod,god
13325,jode,rode
13326,jodhpur,-1
13327,jodijill,-1
13328,joe,joe
13329,joel,joel
13330,joes,-1
13331,jog,-1
13332,jogezai,-1
13333,joggers,-1
13334,jogiroad,-1
13335,jogjakarta,-1
13336,joglo,-1
13337,johan,john
13338,johannesburg,-1
13339,johi,john
13340,john,john
13341,johnson,johnson
13342,johor,-1
13343,join,join
13344,joiner,joined
13345,joint,joint
13346,jointly,jointly
13347,jojoba,-1
13348,joke,joke
13349,jokowi,-1
13350,jolly,jolly
13351,jolt,jolt
13352,jomi,-1
13353,jonas,jones
13354,jonathan,jonathan
13355,joneldi,-1
13356,jones,jones
13357,jonglei,-1
13358,jongwe,tongue
13359,jopb,job
13360,jorda,jordan
13361,jordan,jordan
13362,jordanian,-1
13363,jordanians,-1
13364,jorge,forge
13365,jorking,working
13366,jos,-1
13367,jose,jose
13368,joseph,joseph
13369,jostle,jostle
13370,josucha,joshua
13371,jou,you
13372,jouna,-1
13373,jounalist,journalist
13374,joung,young
13375,journal,journal
13376,journalism,journalism
13377,journalist,journalist
13378,journalists,journalists
13379,journey,journey
13380,jours,-1
13381,jowhar,-1
13382,jowl,jowl
13383,joy,joy
13384,joyang,joking
13385,joyful,joyful
13386,joyous,joyous
13387,jp,up
13388,jpg,-1
13389,jpl,-1
13390,jpmc,-1
13391,jpp,pp
13392,jpy,joy
13393,jq,j
13394,jqqy,-1
13395,jqwc,-1
13396,jrcs,-1
13397,jrmie,-1
13398,jrs,mrs
13399,jrusalem,jerusalem
13400,js,-1
13401,jsdf,-1
13402,jshurricanenews,-1
13403,jsp,-1
13404,jsqm,sum
13405,jsr,jar
13406,jt,-1
13407,jtf,utf
13408,jtgfd,-1
13409,jth,th
13410,jtwai,twas
13411,ju,-1
13412,juaa,juan
13413,juan,juan
13414,juanary,january
13415,juarez,jabez
13416,juba,cuba
13417,jubba,cuba
13418,jubbha,-1
13419,jubilee,-1
13420,judesan,-1
13421,judge,judge
13422,judgmental,judgment
13423,judi,judy
13424,judicial,judicial
13425,judicially,judicial
13426,judiciaries,-1
13427,judiciary,judiciary
13428,jug,jug
13429,juggernaut,-1
13430,jui,-1
13431,juice,juice
13432,juices,juices
13433,jujoffer,-1
13434,jul,july
13435,juliemandelll,-1
13436,juliostorm,-1
13437,july,july
13438,jumabek,-1
13439,jumbala,jumble
13440,jumbe,jumble
13441,jumelle,-1
13442,jump,jump
13443,jun,-1
13444,junaid,unpaid
13445,junary,-1
13446,junbish,-1
13447,juncture,juncture
13448,june,june
13449,junette,annette
13450,jungle,jungle
13451,junichi,munich
13452,junior,junior
13453,junk,-1
13454,junkfood,-1
