_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold
227175951,false,finalized,3,12/8/2012 20:50:28,"http://t.co/pQxgRVG1
@xhank
@xhank. http://t.co/pQxgRVG1",Other,1.0,"Empty streets
Empty streets
Empty streets","N/A
n/a
n/a","Soho
Soho NYC
Soho NYC",Informative (Indirect),,Empty streets of Soho NYC by @xhank. http://t.co/pQxgRVG1 #sandy,RT @stevesilberman: Empty streets of Soho NYC by @xhank. http://t.co/pQxgRVG1 #sandy,Caution and advice,,johndavisonx,,,
227175952,false,finalized,3,12/10/2012 14:40:54,"N/A
n/a
http://t.co/NDA9XSgt",Other,1.0,"FLOODING POSSIBLE
REMNANTS OF HURRICANE SANDY WILL LINGER
FLOODING POSSIBLE","N/A
n/a
n/A","CENTRAL PENN
CENTRAL PENN
CENTRAL PENN",Informative (Indirect),,...FLOODING POSSIBLE FROM REMNANTS OF HURRICANE SANDY... .THE REMNANTS OF HURRICANE SANDY WILL LINGER OVER CENTRAL PENN http://t.co/NDA9XSgt,...FLOODING POSSIBLE FROM REMNANTS OF HURRICANE SANDY... .THE REMNANTS OF HURRICANE SANDY WILL LINGER OVER CENTRAL PENN http://t.co/NDA9XSgt,Caution and advice,,Johnstown_WX,,,
227175953,false,finalized,3,12/8/2012 20:20:52,"N/A
N/A
n/a",Other,1.0,"all four East River bridges will shut down
At 7 PM all four East River bridges will shut down
bridges will shut down","7 PM
7 PM
7 PM","Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges
East River
Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges",Informative (Indirect),,BREAKING: At 7 PM all four East River bridges will shut down: Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges. #Sandy,RT @NYCMayorsOffice: BREAKING: At 7 PM all four East River bridges will shut down: Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges. #Sandy,Caution and advice,,Jsurvivor_nyc,,,
227175954,false,finalized,3,12/8/2012 20:14:27,"N/A
N/A
gusts",A hurricane sighting has been reported,0.6386,"highest observed gusts
JFK airport in #NYC now gusting to 71 mph
now gusting to 71 mph","now
now
now","#JFK airport in #NYC
NYC
JFK airport in #NYC",Informative (Indirect),,#JFK airport in #NYC now gusting to 71 mph - the highest observed gusts so far in NYC during #Sandy.,RT @twc_hurricane: #JFK airport in #NYC now gusting to 71 mph - the highest observed gusts so far in NYC during #Sandy.,Caution and advice,,JusAire,,,
227175955,false,finalized,3,12/10/2012 14:34:14,"Gov. Cuomo
Gov. Cuomo
http://t.co/ViLRqyQU",Other,0.6631,"close NYC bridges
close NYC bridges
close NYC bridges","7:00 PM
7:00 PM
7:00 PM","NYC
NYC
NYC",Informative (Indirect),,Gov. Cuomo has directed the Port Authority and the MTA to close NYC bridges at 7:00 PM http://t.co/ViLRqyQU #Sandy,RT @nydailynews: Gov. Cuomo has directed the Port Authority and the MTA to close NYC bridges at 7:00 PM http://t.co/ViLRqyQU #Sandy,Caution and advice,,katew,,,
227175956,false,finalized,3,12/10/2012 14:27:10,"ConEd CEO
ConEd CEO
#Sandy",Other,1.0,"significant chance of flooding
significant chance of flooding
chance of flooding","N/A
n/a
n/A","throughout NYC
throughout NYC
NYC",Informative (Indirect),,"ConEd CEO on #Sandy: ""There is a significant chance of flooding throughout NYC""","RT @WSJweather: ConEd CEO on #Sandy: ""There is a significant chance of flooding throughout NYC""",Caution and advice,,KCMichelle,,,
227175957,false,finalized,3,12/8/2012 20:14:27,"n/a
N/A
n/a",Other,1.0,"outage clusters
Biggest outage clusters get repaired first
outage clusters get repaired first.","n/a
N/A
n/a","NYC
NYC
Westchester #NYC",Informative (Indirect),,Biggest outage clusters get repaired first. Smaller clusters to follow. #Westchester #NYC #Sandy #ConEdison,RT @ConEdison: Biggest outage clusters get repaired first. Smaller clusters to follow. #Westchester #NYC #Sandy #ConEdison,Caution and advice,,KelleyChubb,,,
227175958,false,finalized,3,12/8/2012 19:44:30,"Bloomberg
RT @achorowitz
Bloomberg",A hurricane warning has been issued or has been lifted,0.6559,"the worst of the storm
worst of the storm
worst of the storm","630-1030 PM
630-1030 PM
630-1030 PM","NYC
NYC
NYC",Informative (Indirect),,RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,RT @AlexJamesFitz: RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,Caution and advice,,Kenosen2,,,
227175959,false,finalized,3,12/8/2012 21:09:31,"Mayor Bloomberg
NYC Mayor Bloomberg
Mayor Bloomberg",Other,1.0,"ConEd may shut down power
ConEd may shut down power
may shut down power","N/A
N/A
n/a","southern Brooklyn and lower Manhattan
in southern Brooklyn and lower Manhattan
southern Brooklyn and lower Manhattan",Informative (Indirect),,NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,kerstinshamberg,,,
227175960,false,finalized,3,12/8/2012 20:44:15,"N/A
http://t.co/TQSYfNah
#IFWT Experts",A hurricane warning has been issued or has been lifted,1.0,"Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC
Hurricane Sandy Unleashes Her Fury On NYC
When Hurricane Sandy Unleashes Her Fury","8 O'Clock
8 O'Clock
8 O'Clock","NYC
NYC
NYC",Informative (Indirect),,#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/TQSYfNah,RT @funkmasterflex: #IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/TQSYfNah,Caution and advice,,KidDuckie,,,
227175961,false,finalized,3,12/10/2012 06:12:57,"#Sandy
NYC Mayor Bloomberg
NYC Mayor Bloomberg",Other,1.0,"shut down power
shut down power
ConEd may shut down power","N/A
n/a
N/A","southern Brooklyn and lower Manhattan
southern Brooklyn and lower Manhattan
Brooklyn and lower Manhattan",Informative (Indirect),,NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,ksrgatorfn,,,
227175962,false,finalized,3,12/10/2012 14:40:54,"N/A
n/a
#Sandy",Other,1.0,"Alternate side parking and meter regulations are suspended citywide
parking and meter regulations are suspended
are suspended","tomorrow
tomorrow
tomorrow","N/A
citywide
citywide",Informative (Indirect),,Alternate side parking and meter regulations are suspended citywide tomorrow. #Sandy,RT @NYCMayorsOffice: Alternate side parking and meter regulations are suspended citywide tomorrow. #Sandy,Caution and advice,,lauritacruz47,,,
227175963,false,finalized,3,12/8/2012 19:56:15,"Mayor Bloomberg
Mayor Bloomberg
Mayor Bloomberg",A hurricane warning has been issued or has been lifted,0.3645,"The most severe part of the storm
most severe part of the storm is now beginning
severe part of the storm is now beginning","now
now
now","NYC
NYC
NYC",Informative (Indirect),,The most severe part of the storm is now beginning-Mayor Bloomberg. NYC #Sandy,"RT @MiaFarrow: ""The most severe part of the storm is now beginning""-Mayor Bloomberg. NYC #Sandy",Caution and advice,,longfellow520,,,
227175964,false,finalized,3,12/10/2012 06:12:57,"news
the news
N/A",A hurricane warning has been issued or has been lifted,0.3501,"Cumberland is going to get it hard tonight
going to get it hard tonight by Sandy!!
Cumberland is going to get it hard tonight by Sandy","tonight
tonight
tonight","Cumberland
Cumberland
Cumberland",Informative (Indirect),,On the news it says Cumberland is going to get it hard tonight by Sandy!!,RT @XONavajo: On the news it says Cumberland is going to get it hard tonight by Sandy!!,Caution and advice,,LovinMyMistakes,,,
227175965,false,finalized,3,12/8/2012 20:37:58,"Mayor Bloomberg
Mayor Bloomberg
Mayor Bloomberg",Other,1.0,"Please use 311 for downed trees and flooding
use 311 for downed trees and flooding
use 311 for downed trees and flooding not 911","N/A

n/a","NYC
NYC
NYC",Informative (Indirect),,"Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC","RT @twc_hurricane: Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC",Caution and advice,,MadameRamotswe,,,
227175966,false,finalized,3,12/10/2012 14:40:54,"N/A
http://t.co/3yLWVeam
http://t.co/3yLWVeam",Other,1.0,"airports reopen
airports reopen after two days of cancellations
Liberty airports reopen","after two days of cancellations
after two days of cancellations
two days","New York
New York's #JFK and #Newark Liberty airports
JFK Newark Liberty",Informative (Indirect),,New York's #JFK and #Newark Liberty airports reopen after two days of cancellations. La Guardia remains closed http://t.co/3yLWVeam #Sandy,RT @BBCWorld: New York's #JFK and #Newark Liberty airports reopen after two days of cancellations. La Guardia remains closed http://t.co/3yLWVeam #Sandy,Caution and advice,,MarcClimaco,,,
227175967,false,finalized,3,12/8/2012 20:57:21,"N/A
NYC ALERT
n/a",Other,1.0,"pets are accepted on the subway taxi and trains
All pets are accepted on the subway taxi and trains during evacuation
pets are accepted on the subway taxi and trains","during evacuation
during evacuation
during evacuation","NYC
NYC
NYC",Informative (Indirect),,NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,Marketa1981,,,
227175968,false,finalized,3,12/8/2012 19:00:16,"Mayor Bloomberg
N/A
n/a",Other,1.0,"offering an update on the city's response to #Sandy
Mayor Bloomberg is offering an update
Mayor Bloomberg is offering an update","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,Caution and advice,,MarketWatch,,,
227175969,false,finalized,3,12/8/2012 19:37:32,"Mayor Michael Bloomberg
LIVE VIDEO
LIVE VIDEO: NYC Mayor Michael Bloomberg",Other,1.0,"updates residents
Mayor Michael Bloomberg updates residents on Hurricane
updates residents on Hurricane #Sandy","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,RT @NBCNews: LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,Caution and advice,,meggy009,,,
227175970,false,finalized,3,12/8/2012 19:41:40,"@NYGovCuomo
@NYGovCuomo
@NYGovCuomo",Other,1.0,"closing of NYC bridges
@NYGovCuomo orders closing of NYC bridges
closing of NYC bridges","by 7pm
7pm
7pm","NYC
NYC
NYC bridges",Informative (Indirect),,.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,,MichelleRafter,,,
227175971,false,finalized,3,12/10/2012 14:44:08,"N/A
sandyonfox http://t.co/UQ6QYH09
http://t.co/UQ6QYH09",Other,1.0,"All bridges tunnels in NYC closed except for Lincoln Tunnel
bridges tunnels in NYC closed
tunnels in NYC closed","N/A
n/a
n/A","NYC
NYC
NYC",Informative (Indirect),,All bridges tunnels in NYC closed except for Lincoln Tunnel. #sandyonfox http://t.co/UQ6QYH09,All bridges tunnels in NYC closed except for Lincoln Tunnel. #sandyonfox http://t.co/UQ6QYH09,Caution and advice,,MyFoxNY,,,
227175972,false,finalized,3,12/8/2012 19:41:40,"@NYGovCuomo
n/a
@NYGovCuomo",Other,0.7358,"closing of NYC bridges
closing of NYC bridges
closing of NYC bridges","by 7pm
n/a
7pm","NYC
NYC
NYC bridges",Informative (Indirect),,.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,RT @weatherchannel: .@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,,Nelmcadoo,,,
227175973,false,finalized,3,12/8/2012 20:37:58,"http://t.co/suAeqpui
N/A
http://t.co/suAeqpui",Other,0.6771,"BLIZZARD WARNINGS
BLIZZARD WARNINGS IN WEST VIRGINIA
BLIZZARD WARNINGS","
N/A
WHILE HURRICANE SANDY THREATENS","WEST VIRGINIA
WEST VIRGINIA
WEST VIRGINIA",Informative (Indirect),,BLIZZARD WARNINGS IN WEST VIRGINIA ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® WHILE HURRICANE SANDY THREATENS: http://t.co/suAeqpui,RT @gretawire: BLIZZARD WARNINGS IN WEST VIRGINIA ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® WHILE HURRICANE SANDY THREATENS: http://t.co/suAeqpui,Caution and advice,,normsantos,,,
227175974,false,finalized,3,12/8/2012 19:49:16,"http://t.co/A2mjbStn
N/A
Delta",Other,1.0,"plan to resume some NYC flights
plan to resume some NYC flights
plan to resume some NYC flights","Tuesday
Tuesday
on Tuesday","NYC
NYC
NYC",Informative (Indirect),,Delta has what seems like a very optimistic plan to resume some NYC flights on Tuesday: http://t.co/A2mjbStn,Delta has what seems like a very optimistic plan to resume some NYC flights on Tuesday: http://t.co/A2mjbStn,Caution and advice,,NYCAviation,,,
227175975,false,finalized,3,12/8/2012 20:28:46,"http://t.co/jJUy1y8F
N/A
http://t.co/jJUy1y8F",Other,0.7122,"Stay inside
Stay inside try to relax don't go being macho and running into the water
Stay inside try to relax","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Indirect),,In sum: http://t.co/jJUy1y8F Stay inside try to relax don't go being macho and running into the water. #Sandy #MayorBloomberg,In sum: http://t.co/jJUy1y8F Stay inside try to relax don't go being macho and running into the water. #Sandy #MayorBloomberg,Caution and advice,,nycTrend,,,
227175976,false,finalized,3,12/8/2012 20:32:02,"CBS News
CBS News
CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO",Other,0.6559,"Limited train service resuming
Limited train service resuming
Limited train service resuming","after superstorm Sandy
after superstorm Sandy
after superstorm Sandy","NYC
NYC
NYC",Informative (Indirect),,Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO #newyork,Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO #newyork,Caution and advice,,NYNewYorkCity,,,
227175977,false,finalized,3,12/8/2012 19:44:30,"http://t.co/cDuyLxA2
n/a
n/a",A hurricane sighting has been reported,0.6235,"Sandy approaching
Sandy
Sandy approaching","N/A
n/a
n/a","northeast U.S.
northeast U.S.
northeast U.S",Informative (Indirect),,Sandy approaching northeast U.S. http://t.co/cDuyLxA2,Sandy approaching northeast U.S. http://t.co/cDuyLxA2,Caution and advice,,optimismnow2,,,
227175978,false,finalized,3,12/10/2012 14:34:14,"@ZagatNYC
ZagatNYC
http://t.co/tAbiGqSo",Other,1.0,"restos playing it by ear during #Sandy
restos playing it by ear during #Sandy
list of what's open","during #Sandy
playing it by ear
n/A","NYC
NYC
NYC",Informative (Indirect),,MT @ZagatNYC: NYC restos playing it by ear during #Sandy. Props to @EaterNY on their list of what's open ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® http://t.co/tAbiGqSo @kale1919,MT @ZagatNYC: NYC restos playing it by ear during #Sandy. Props to @EaterNY on their list of what's open ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® http://t.co/tAbiGqSo @kale1919,Caution and advice,,PaulBell55,,,
227175979,false,finalized,3,12/8/2012 19:34:10,"N/A

RedCross",Other,1.0,"Hurricane app can help you recover from #Sandy
Hurricane app can help you recover
Hurricane app can help you recover from #Sandy","N/A

n/a","http://t.co/fYMpaDYc
n/a
http://t.co/fYMpaDYc",Informative (Indirect),,#RedCross Hurricane app can help you recover from #Sandy. Go to the Prepare tab then hit ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â¬AfterÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â. http://t.co/fYMpaDYc,RT @RedCross: #RedCross Hurricane app can help you recover from #Sandy. Go to the Prepare tab then hit ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â¬AfterÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â. http://t.co/fYMpaDYc,Caution and advice,,PiedmontHousing,,,
227175980,false,finalized,3,12/10/2012 14:23:06,"http://t.co/4qNCbnTW & http://t.co/gtQEoxjS
n/a
http://t.co/4qNCbnTW",A shelter is open or available,1.0,"safe place to stay
shelter info avail.
shelter","
n/a
N/A","n/a
http://t.co/4qNCbnTW & http://t.co/gtQEoxjS.
N/A",Informative (Indirect),,If you need a safe place to stay shelter info avail. in #Hurricane app http://t.co/4qNCbnTW & http://t.co/gtQEoxjS. #Sandy,RT @RedCross: If you need a safe place to stay shelter info avail. in #Hurricane app http://t.co/4qNCbnTW & http://t.co/gtQEoxjS. #Sandy,Caution and advice,,PoppenReport,,,
227175981,false,finalized,3,12/8/2012 19:29:26,"http://t.co/jfOwCb5o
#IFWT Experts
IFWT Experts",A hurricane warning has been issued or has been lifted,1.0,"When Hurricane Sandy Unleashes Her Fury
8 O'Clock Is When Hurricane Sandy Unleashes Her Fury
Hurricane Sandy Unleashes Her Fury","8 O'Clock
8 O'Clock
8 O'Clock","NYC
NYC
NYC",Informative (Indirect),,#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/jfOwCb5o,RT @funkmasterflex: #IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/jfOwCb5o,Caution and advice,,RealMGillette,,,
227175982,false,finalized,3,12/10/2012 14:37:37,"@SkyNews
@SkyNews
@SkyNews",A hurricane sighting has been reported,1.0,"Hurricane Sandy hits landfall
The latest as Hurricane Sandy hits landfall.
hits landfall","throughout the night
throughout the night
throughout the night","N/A
n/a
n/A",Informative (Indirect),,The latest as Hurricane Sandy hits landfall. Rolling news coverage @SkyNews throughout the night,RT @skynewspip: The latest as Hurricane Sandy hits landfall. Rolling news coverage @SkyNews throughout the night,Caution and advice,,RNorthumberland,,,
227175983,false,finalized,3,12/10/2012 06:12:57,"@weatherchannel: @NYGovCuomo
@weatherchannel
NYGovCuomo",Other,1.0,"closing of NYC bridges
NYGovCuomo orders closing of NYC bridges
closing of NYC bridges","by 7pm
by 7pm.
7pm","NYC
NYC
NYC",Informative (Indirect),,RT @weatherchannel: @NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Must close by 7pm. #Sandy,RT @AsburyParkPress: RT @weatherchannel: @NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Must close by 7pm. #Sandy,Caution and advice,,rumsoncds,,,
227175984,false,finalized,3,12/8/2012 20:24:35,"http://t.co/K3T7t91E
N/A
http://t.co/K3T7t91E",A shelter is open or available,1.0,"List of NJ PA and DE shelters
List of NJ PA and DE shelters
List of NJ PA and DE shelters","N/A
N/A
n/a","NJ PA and DE
NJ PA and DE
NJ PA and DE",Informative (Indirect),,ALERT: List of NJ PA and DE shelters - including those that are pet friendly http://t.co/K3T7t91E #sandy #sandypets,RT @ASPCA: ALERT: List of NJ PA and DE shelters - including those that are pet friendly http://t.co/K3T7t91E #sandy #sandypets,Caution and advice,,SallyMos,,,
227175985,false,finalized,3,12/8/2012 19:14:13,"http://t.co/N5ruP5z8
N/A
n/a",A hurricane warning has been issued or has been lifted,0.7122,"Sandy is coming
Sandy is coming and it is full of anger!
Sandy is coming","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,#Sandy is coming and it is full of anger! #Storm #NYC http://t.co/N5ruP5z8,#Sandy is coming and it is full of anger! #Storm #NYC http://t.co/N5ruP5z8,Caution and advice,,satantoine,,,
227175986,false,finalized,3,12/8/2012 20:57:21,"mike bloomberg
mike bloomberg
mike bloomberg",Other,1.0,"the time for evacuation
time for evacuation is now over
time for evacuation is now over","now over
now
now","nyc
NYC
nyc",Informative (Indirect),,the time for evacuation is now over - mike bloomberg. | #nyc #sandy,the time for evacuation is now over - mike bloomberg. | #nyc #sandy,Caution and advice,,shaunrandol,,,
227175987,false,finalized,3,12/8/2012 20:28:46,"http://t.co/lYJ7xUrB
N/A
http://t.co/lYJ7xUrB",Other,1.0,"Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled","Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30","NYC
NYC
NYC",Informative (Indirect),,UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,RT @TheBwayLeague: UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,Caution and advice,,Shirlz1123,,,
227175988,false,finalized,3,12/8/2012 19:49:16,"http://t.co/WEF3U3PL
USA TODAY
USA TODAY: ABC News",Other,1.0,"Christie postpones Halloween celebrations
Christie postpones Halloween celebrations
Christie postpones Halloween celebrations","N/A
N/A
Halloween","New Jersey
New Jersey
New Jersey",Informative (Indirect),,Christie postpones Halloween celebrations in New Jersey - USA TODAY: ABC NewsChristie postpones Halloween celebr... http://t.co/WEF3U3PL,Christie postpones Halloween celebrations in New Jersey - USA TODAY: ABC NewsChristie postpones Halloween celebr... http://t.co/WEF3U3PL,Caution and advice,,ShowCars1,,,
227175989,false,finalized,3,12/8/2012 19:56:15,"http://t.co/REmduOnv
@BudgetTravel
@BudgetTravel",Other,1.0,"Stranded because of #Sandy?
Stranded because of #Sandy? Here's what you need to know
Stranded because of #Sandy? Here's what you need to know","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Indirect),,RT @BudgetTravel: Stranded because of #Sandy? Here's what you need to know--#airline by airline http://t.co/REmduOnv #Frankenstorm,RT @dfwairport: RT @BudgetTravel: Stranded because of #Sandy? Here's what you need to know--#airline by airline http://t.co/REmduOnv #Frankenstorm,Caution and advice,,SKSMediaCanada,,,
227175990,false,finalized,3,12/8/2012 20:34:51,"N/A
@UN
http://t.co/0p90eZIa",Other,1.0,"UNHQ in NYC will be also be closed
UNHQ in NYC will be also be closed on Tuesday
UNHQ in NYC will be also be closed","Tuesday
Tuesday
Tuesday","NYC
NYC
UNHQ in NYC",Informative (Indirect),,RT @UN: UNHQ in NYC will be also be closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa,RT @UN: UNHQ in NYC will be also be closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa,Caution and advice,,sncyf,,,
227175991,false,finalized,3,12/8/2012 19:00:16,"N/A
N/A
n/a",A hurricane warning has been issued or has been lifted,0.6523,"Any time over the next hour It should be here #sandy
Any time over the next hour It should be here
It should be here","Any time over the next hour
Any time over the next hour
over the next hour","NYC
NYC
NYC",Informative (Indirect),,Any time over the next hour It should be here #sandy #NYC,Any time over the next hour It should be here #sandy #NYC,Caution and advice,,Sorcha_Ellie,,,
227175992,false,finalized,3,12/8/2012 19:14:13,"Mayor Bloomberg
@thematthewkeys
thematthewkeys: NYC Mayor Bloomberg",Other,1.0,"ConEd may shut down power
ConEd may shut down power in southern Brooklyn and lower Manhattan
may shut down power","N/A
N/A
n/a","southern Brooklyn and lower Manhattan
southern Brooklyn and lower Manhattan
southern Brooklyn and lower Manhattan",Informative (Indirect),,RT @thematthewkeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,RT @breakingweather: RT @thematthewkeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,,StephTweet,,,
227175993,false,finalized,3,12/10/2012 14:30:43,"http://t.co/WWmlZvHe
http://t.co/WWmlZvHe
http://t.co/WWmlZvHe",Other,1.0,"Public transit closed
Public transit in NYC will be closed
Public transit will be closed","tomorrow morning
tomorrow morning and remain closed throughout the day
tomorrow morning","NYC
NYC
NYC",Informative (Indirect),,Public transit in NYC will be closed tomorrow morning and remain closed throughout the day. http://t.co/WWmlZvHe #Sandy,RT @AntDeRosa: Public transit in NYC will be closed tomorrow morning and remain closed throughout the day. http://t.co/WWmlZvHe #Sandy,Caution and advice,,Stevie_Bo,,,
227175994,false,finalized,3,12/8/2012 19:00:16,"NYC Mayor Bloomberg
NYC Mayor Bloomberg
Mayor Bloomberg",Other,1.0,"City employees should work
City employees should come to work provided they can do so safely
employees should come to work","
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,NYC Mayor Bloomberg: City employees should come to work provided they can do so safely. #Sandy,RT @TheMatthewKeys: NYC Mayor Bloomberg: City employees should come to work provided they can do so safely. #Sandy,Caution and advice,,SupermanHotMale,,,
227175995,false,finalized,3,12/10/2012 14:37:37,"n/a
http://t.co/gZUyn3uQ
http://t.co/gZUyn3uQ",Other,1.0,"Bellevue Hospital
Hospital Set to Evacuate
Set to Evacuate","n/a
After Sandy
After Sandy","New York
New York's Bellevue Hospital
New York's Bellevue Hospital",Informative (Indirect),,Prayers!! RT @jacquereid: RT @ABC: New York's Bellevue Hospital Set to Evacuate After Sandy http://t.co/gZUyn3uQ,Prayers!! RT @jacquereid: RT @ABC: New York's Bellevue Hospital Set to Evacuate After Sandy http://t.co/gZUyn3uQ,Caution and advice,,Syreta,,,
227175996,false,finalized,3,12/10/2012 06:12:57,"http://t.co/XEYNBgW0
http://t.co/XEYNBgW0
http://t.co/XEYNBgW0",Other,1.0,"All federal government offices in and around Washington will be closed
government offices in and around Washington will be closed
federal government offices in and around Washington will be closed","Tuesday
Tuesday
Tuesday","in and around Washington
in and around Washington
Washington",Informative (Indirect),,All federal government offices in and around Washington will be closed Tuesday. #HurricaneSandy http://t.co/XEYNBgW0,RT @cnnbrk: All federal government offices in and around Washington will be closed Tuesday. #HurricaneSandy http://t.co/XEYNBgW0,Caution and advice,,UUgeh,,,
227175997,false,finalized,3,12/10/2012 14:44:08,"@NYTMetro
@NYTMetro
http://t.co/oi2lnGTm",Other,0.6631,"Limited commuter rail service to resume
Limited commuter rail service to resume
rail service to resume","2 p.m. Wednesday
2 p.m. Wednesday
2 p.m","New York
New York
New York",Informative (Indirect),,RT @NYTMetro: Limited commuter rail service to resume in New York at 2 p.m. Wednesday http://t.co/oi2lnGTm,RT @nytimes: RT @NYTMetro: Limited commuter rail service to resume in New York at 2 p.m. Wednesday http://t.co/oi2lnGTm,Caution and advice,,VivaLaSlim,,,
